,cbar,ls omega,ls theta,nucleon
$\mathrm{d}\sigma$,0.5856178495568402,53.50720542030084,56.17662919885403,Proton
$\mathrm{d}\sigma$,2.8177990511914572,54.382647496758615,79.3015551926895,Neutron
$\Sigma_{1x}$,0.6053958591365802,49.03152142864974,47.73319956182674,Proton
$\Sigma_{1x}$,0.47327502266203014,91.37202339979977,46.400216813789214,Neutron
$\Sigma_{1z}$,0.36964305466292874,51.38945987400694,53.17578937616403,Proton
$\Sigma_{1z}$,0.31834715502139377,92.06094784731886,43.20884254655016,Neutron
$\Sigma_{2x}$,0.424997862923596,42.99593216448105,38.20634175779608,Proton
$\Sigma_{2x}$,0.5744577831219273,55.56425889948376,39.13204387621319,Neutron
$\Sigma_{2z}$,1.0345504475990328,50.46747626660643,44.1924866590445,Proton
$\Sigma_{2z}$,1.6442922380807656,58.442704291916755,51.709394817751146,Neutron
$\Sigma_{3}$,0.5985888970538965,54.49763953459478,34.54511248026575,Proton
$\Sigma_{3}$,0.4410198616610675,70.77373204794816,43.212834140034246,Neutron
$\Sigma_{y}$,0.4667716612928191,61.3241644714722,52.37979112398496,Proton
$\Sigma_{y}$,0.4159548706749588,94.78707552324323,42.85135247993999,Neutron
$\Sigma_{3y}$,0.6430591465330543,50.30042676981726,48.12455394477465,Proton
$\Sigma_{3y}$,0.4608884712729775,90.44454980917138,44.252843046063774,Neutron
$\Sigma_{3y'}$,0.4892775860222369,63.80447944981802,46.16407024590064,Proton
$\Sigma_{3y'}$,0.4745485645342089,78.8298303819127,46.121901619786584,Neutron
$\Sigma_{1x'}$,0.5132238327610383,55.65739835652155,47.78369745564842,Proton
$\Sigma_{1x'}$,0.31008852506920204,75.74691737448843,40.82912714133594,Neutron
$\Sigma_{1z'}$,0.24156943381134624,51.23558944817897,45.07408079092864,Proton
$\Sigma_{1z'}$,0.2518091730347783,82.26194915302838,44.1336164235279,Neutron
$\Sigma_{2x'}$,0.9086489217224981,32.955045789366785,56.02255456440445,Proton
$\Sigma_{2x'}$,0.9492963351737039,44.06282935165641,52.52636377021029,Neutron
$\Sigma_{2z'}$,0.5215573536583136,37.905067565287595,47.287606637055,Proton
$\Sigma_{2z'}$,1.3931587236423213,71.60358325900823,54.59856876322878,Neutron
